reasonableness_class,atlas_row_index,nct_id,arm_group_id,arm_title,tissue_type,line_of_therapy,therapy_class,is_combination,biomarker,model_orr_pct,model_orr_pct_source,orr_endpoint_title,ctgov_outcome_title,ctgov_class_title,ctgov_category_title,ctgov_measurement_value,ctgov_measurement_denominator,ctgov_verified_orr_pct,used_by_n_target_rows,used_as_support_cells,target_surface_pair_ids,source_url,api_url
ctgov_verified_orr_like,1934,NCT01385293,OG000,BKM 120,prostate,1L,targeted_therapy,False,no,0,ctgov,Radiologic Response,Radiologic Response,,,0,30.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT01385293,https://clinicaltrials.gov/api/v2/studies/NCT01385293
ctgov_verified_orr_like,2242,NCT00430781,OG001__p001,Lapatinib monotherapy,cervical,1L,targeted_therapy,False,no,5.12821,ctgov,Response,Response,,,4,78.0,5.128205128205128,31,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00430781,https://clinicaltrials.gov/api/v2/studies/NCT00430781
ctgov_verified_orr_like,2243,NCT00430781,OG002__p002,Pazopanib monotherapy,cervical,1L,targeted_therapy,False,no,9.45946,ctgov,Response,Response,,,7,74.0,9.45945945945946,31,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00430781,https://clinicaltrials.gov/api/v2/studies/NCT00430781
ctgov_verified_orr_like,2447,NCT01259375,OG000__p000,All patients,sarcoma_gist_bone,1L,chemotherapy,False,no,13,ctgov,Response Rate for Amrubicin in Patients With Metastatic or Advanced Sarcoma as First Line Therapy.,Response Rate for Amrubicin in Patients With Metastatic or Advanced Sarcoma as First Line Therapy.,,,13,23.0,13.0,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT01259375,https://clinicaltrials.gov/api/v2/studies/NCT01259375
ctgov_verified_orr_like,2501,NCT03760081,OG000__asp1650_ca874b22,ASP1650,testicular_germ_cell,2L+,chemotherapy;antibody_biologic,False,no,0,pubmed,,Percentage of Participants With Confirmed Objective Response by Modified RECIST v1.1,,,0.0,6.0,0.0,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT03760081,https://clinicaltrials.gov/api/v2/studies/NCT03760081
ctgov_verified_orr_like,2502,NCT03760081,OG000__p000,"ASP1650, Dose Level 1",testicular_germ_cell,2L+,chemotherapy;antibody_biologic,False,no,0,ctgov,Percentage of Participants With Confirmed Objective Response by Modified RECIST v1.1,Percentage of Participants With Confirmed Objective Response by Modified RECIST v1.1,,,0.0,6.0,0.0,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT03760081,https://clinicaltrials.gov/api/v2/studies/NCT03760081
ctgov_verified_orr_like,2503,NCT03760081,OG001,"ASP1650, Dose Level 2",testicular_germ_cell,2L+,chemotherapy;antibody_biologic,False,no,0,ctgov,Percentage of Participants With Confirmed Objective Response by Modified RECIST v1.1,Percentage of Participants With Confirmed Objective Response by Modified RECIST v1.1,,,0.0,6.0,0.0,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT03760081,https://clinicaltrials.gov/api/v2/studies/NCT03760081
ctgov_verified_orr_like,2576,NCT00474994,OG000,"Sunitinib (Sutent®, SU11248) in Non-GIST Sarcomas",ovarian_fallopian_peritoneal,neoadjuvant,targeted_therapy,False,no,2.08333,ctgov,Overall Objective Response,Overall Objective Response,Partial Response (PR),,1,48.0,2.083333333333333,28,disease_therapy;fallback_disease_baseline;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::mifepristone;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00474994,https://clinicaltrials.gov/api/v2/studies/NCT00474994
ctgov_verified_orr_like,2883,NCT00788775,OG000,No CNS Metastastic Cohort,melanoma_skin,2L+,targeted_therapy,False,no,18.1818,ctgov,Best Overall Response,Best Overall Response,Partial Response,,2,11.0,18.181818181818183,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00788775,https://clinicaltrials.gov/api/v2/studies/NCT00788775
ctgov_verified_orr_like,2884,NCT00788775,OG001,CNS Metastatic Cohort,melanoma_skin,2L+,targeted_therapy,False,no,0,ctgov,Best Overall Response,Best Overall Response,Complete Response,,0,8.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00788775,https://clinicaltrials.gov/api/v2/studies/NCT00788775
ctgov_verified_orr_like,2895,NCT00937937,OG000,Dinaciclib,melanoma_skin,2L+,targeted_therapy,False,no,0,ctgov,Response Rate (Confirmed and Unconfirmed Complete and Partial Responses) Assessed by RECIST,Response Rate (Confirmed and Unconfirmed Complete and Partial Responses) Assessed by RECIST,,,0,72.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00937937,https://clinicaltrials.gov/api/v2/studies/NCT00937937
ctgov_verified_orr_like,3034,NCT02432846,OG001,"Sunitinib-only, High-risk",renal,1L,targeted_therapy,False,no,66.7,ctgov,Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.,Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.,,,66.7,6.0,66.7,27,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02432846,https://clinicaltrials.gov/api/v2/studies/NCT02432846
ctgov_verified_orr_like,3036,NCT02432846,OG003,"Sunitinib-only, Intermediate-risk",renal,1L,targeted_therapy,False,no,42.1,ctgov,Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.,Objective Response Rate (ORR) From Start of Sunitinib Treatment and Duration of Response in Each Subgroup.,,,42.1,19.0,42.1,27,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT02432846,https://clinicaltrials.gov/api/v2/studies/NCT02432846
ctgov_verified_orr_like,3185,NCT00718809,OG000,Thymoma,thymic,2L+,targeted_therapy,False,no,0,ctgov,Objective Response Rate (Complete and Partial Response),Objective Response Rate (Complete and Partial Response),,,0,12.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00718809,https://clinicaltrials.gov/api/v2/studies/NCT00718809
ctgov_verified_orr_like,3186,NCT00718809,OG001,Thymic Carcinoma,thymic,2L+,targeted_therapy,False,no,0,ctgov,Objective Response Rate (Complete and Partial Response),Objective Response Rate (Complete and Partial Response),,,0,9.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00718809,https://clinicaltrials.gov/api/v2/studies/NCT00718809
ctgov_verified_orr_like,3586,NCT00264004,OG000,AZD2171 30 mg Anti HT,multiple_solid_tumors,2L+,targeted_therapy,False,no,3.44828,ctgov,Objective Response Rate,Objective Response Rate,,,1,29.0,3.4482758620689653,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004
