atlas_row_index,nct_id,source_url,api_url,brief_title,tissue_type,line_of_therapy,biomarker,arm_group_id,ctgov_result_group_ids,ctgov_result_group_titles,arm_title,arm_description,interventions,regimen,therapy_class,is_combination,orr_pct,orr_n,orr_denom,orr_endpoint_title,orr_time_frame,model_orr_pct,model_orr_pct_source,model_orr_pct_pmid,pubmed_orr_pct,pubmed_orr_pct_pmid,used_by_n_target_rows,used_as_support_cells,target_surface_pair_ids,ctgov_audit_status,ctgov_verified_orr_pct,ctgov_value_delta,ctgov_outcome_title,ctgov_outcome_type,ctgov_outcome_time_frame,ctgov_param_type,ctgov_unit_of_measure,ctgov_class_title,ctgov_category_title,ctgov_group_id,ctgov_group_title,ctgov_measurement_value,ctgov_measurement_denominator,ctgov_measurement_pct,ctgov_lower_limit,ctgov_upper_limit,ctgov_citation,ctgov_api_citation,ctgov_retrieved_date,ctgov_audit_note
3186,NCT00718809,https://clinicaltrials.gov/study/NCT00718809,https://clinicaltrials.gov/api/v2/studies/NCT00718809,Saracatinib in Treating Patients With Relapsed or Refractory Thymoma or Thymic Cancer,thymic,2L+,no,OG001,OG001,Thymic Carcinoma,Thymic Carcinoma,Patients classified as having Thymic carcinoma. Patients receive 175 mg oral saracatinib once daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.,saracatinib,Thymic Carcinoma | Patients classified as having Thymic carcinoma. Patients receive 175 mg oral saracatinib once daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. | saracatinib,targeted_therapy,False,0,0,9,Objective Response Rate (Complete and Partial Response),Up to 5 years,0,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,0.0,0.0,Objective Response Rate (Complete and Partial Response),PRIMARY,Up to 5 years,NUMBER,percentage of participants,,,OG001,Thymic Carcinoma,0,9.0,0.0,0,0,https://clinicaltrials.gov/study/NCT00718809,https://clinicaltrials.gov/api/v2/studies/NCT00718809,2026-06-03,
3586,NCT00264004,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,Study to Investigate the Management of Hypertension and Efficacy of AZD2171 in Patients With Advanced Solid Tumours,multiple_solid_tumors,2L+,no,OG000,OG000,AZD2171 30 mg Anti HT,AZD2171 30 mg Anti HT,AZD2171 30 mg AntiHT prophylaxis,AZD2171,AZD2171 30 mg Anti HT | AZD2171 30 mg AntiHT prophylaxis | AZD2171,targeted_therapy,False,3.44828,1,29,Objective Response Rate,12 week treatment period,3.44828,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,3.4482758620689653,-4.1379310347089415e-06,Objective Response Rate,SECONDARY,12 week treatment period,NUMBER,Participants,,,OG000,AZD2171 30 mg Anti HT,1,29.0,3.4482758620689653,,,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,2026-06-03,
3587,NCT00264004,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,Study to Investigate the Management of Hypertension and Efficacy of AZD2171 in Patients With Advanced Solid Tumours,multiple_solid_tumors,2L+,no,OG001,OG001,AZD2171 30 mg No Anti HT,AZD2171 30 mg No Anti HT,AZD2171 30 mg No AntiHT prophylaxis,AZD2171,AZD2171 30 mg No Anti HT | AZD2171 30 mg No AntiHT prophylaxis | AZD2171,targeted_therapy,False,9.375,3,32,Objective Response Rate,12 week treatment period,9.375,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,9.375,0.0,Objective Response Rate,SECONDARY,12 week treatment period,NUMBER,Participants,,,OG001,AZD2171 30 mg No Anti HT,3,32.0,9.375,,,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,2026-06-03,
3588,NCT00264004,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,Study to Investigate the Management of Hypertension and Efficacy of AZD2171 in Patients With Advanced Solid Tumours,multiple_solid_tumors,2L+,no,OG002,OG002,AZD2171 45 mg Anti HT,AZD2171 45 mg Anti HT,AZD2171 45 mg AntiHT prophylaxis,AZD2171,AZD2171 45 mg Anti HT | AZD2171 45 mg AntiHT prophylaxis | AZD2171,targeted_therapy,False,6.66667,2,30,Objective Response Rate,12 week treatment period,6.66667,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,6.666666666666667,-3.3333333329110815e-06,Objective Response Rate,SECONDARY,12 week treatment period,NUMBER,Participants,,,OG002,AZD2171 45 mg Anti HT,2,30.0,6.666666666666667,,,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,2026-06-03,
3589,NCT00264004,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,Study to Investigate the Management of Hypertension and Efficacy of AZD2171 in Patients With Advanced Solid Tumours,multiple_solid_tumors,2L+,no,OG003,OG003,AZD2171 45 mg No Anti HT,AZD2171 45 mg No Anti HT,AZD2171 45 mg No AntiHT prophylaxis,AZD2171,AZD2171 45 mg No Anti HT | AZD2171 45 mg No AntiHT prophylaxis | AZD2171,targeted_therapy,False,8.82353,3,34,Objective Response Rate,12 week treatment period,8.82353,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,8.823529411764707,-5.882352933639368e-07,Objective Response Rate,SECONDARY,12 week treatment period,NUMBER,Participants,,,OG003,AZD2171 45 mg No Anti HT,3,34.0,8.823529411764707,,,https://clinicaltrials.gov/study/NCT00264004,https://clinicaltrials.gov/api/v2/studies/NCT00264004,2026-06-03,
3649,NCT01803269,https://clinicaltrials.gov/study/NCT01803269,https://clinicaltrials.gov/api/v2/studies/NCT01803269,Topotecan Hydrochloride or Cyclodextrin-Based Polymer-Camptothecin CRLX101 in Treating Patients With Recurrent Small Cell Lung Cancer,sclc,1L,no,OG002,OG002,Cohort C,Cohort C,Non-randomized group that had no response to 1st line therapy or relapse within 60 days after completion of first-line chemotherapy,,Cohort C | Non-randomized group that had no response to 1st line therapy or relapse within 60 days after completion of first-line chemotherapy,chemotherapy,False,0,0,11,Response Rates According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 (Cohort A),Up to 2 years,0,ctgov,,,,28,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,ctgov_verified_match,0.0,0.0,Response Rates According to Response Evaluation Criteria in Solid Tumors (RECIST) Version 1.1 (Cohort A),SECONDARY,Up to 2 years,COUNT_OF_PARTICIPANTS,Participants,,,OG002,Cohort C,0,11.0,0.0,,,https://clinicaltrials.gov/study/NCT01803269,https://clinicaltrials.gov/api/v2/studies/NCT01803269,2026-06-03,
3862,NCT00866320,https://clinicaltrials.gov/study/NCT00866320,https://clinicaltrials.gov/api/v2/studies/NCT00866320,Sorafenib in Treating Patients With Metastatic Kidney Cancer That Has Not Responded to Sunitinib or Bevacizumab,renal,2L+,no,OG000,OG000,Sorafenib,Sorafenib,Chemotherapy single agent systemic. Sorafenib given up to 600mg orally every 12 hours for up to 10 months (40 weeks).,sorafenib tosylate,Sorafenib | Chemotherapy single agent systemic. Sorafenib given up to 600mg orally every 12 hours for up to 10 months (40 weeks). | sorafenib tosylate,chemotherapy;targeted_therapy,False,30,30,47,Tumor Burden Reduction Rate (TBRR),at 8 weeks (2cycles of treatment),30,ctgov,,,,56,disease_therapy;fallback_global_therapy;global_therapy,breast::bortezomib;breast::docetaxel;breast::doxorubicin;breast::erlotinib;breast::gefitinib;breast::gemcitabine;breast::paclitaxel;crc::bortezomib;crc::cabozantinib;crc::fluorouracil;crc::gefitinib;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::irinotecan;gastric::lapatinib;gastric::pemetrexed;gastric::regorafenib;hnscc::methotrexate;nsclc::afatinib;nsclc::bortezomib;nsclc::docetaxel;nsclc::epirubicin;nsclc::erlotinib;nsclc::gefitinib;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::lapatinib;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;nsclc::vandetanib;nsclc::volasertib;ovarian::altretamine;ovarian::bortezomib;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::temsirolimus;ovarian::topotecan;pdac::abemaciclib;pdac::erlotinib;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00866320,https://clinicaltrials.gov/api/v2/studies/NCT00866320,2026-06-03,
4222,NCT01303172,https://clinicaltrials.gov/study/NCT01303172,https://clinicaltrials.gov/api/v2/studies/NCT01303172,A Trial Comparing Gemcitabine With and Without IMM-101 in Advanced Pancreatic Cancer,pancreatic,localized_or_definitive,no,OG001,OG001,Control,Control,Gemcitabine monotherapy,Gemcitabine,Control | Gemcitabine monotherapy | Gemcitabine,chemotherapy,False,2.85714,1,35,Overall Response Rate (ORR).,"From date of randomization until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 1 year (or longer in the case of patients who entered the long term treatment sub-study).",2.85714,ctgov,,,,25,disease_therapy;fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;prostate::mitoxantrone,ctgov_verified_match,2.857142857142857,2.85714285741534e-06,Overall Response Rate (ORR).,SECONDARY,"From date of randomization until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 1 year (or longer in the case of patients who entered the long term treatment sub-study).",NUMBER,participants,Partial Response,,OG001,Control,1,35.0,2.857142857142857,,,https://clinicaltrials.gov/study/NCT01303172,https://clinicaltrials.gov/api/v2/studies/NCT01303172,2026-06-03,
4232,NCT03562507,https://clinicaltrials.gov/study/NCT03562507,https://clinicaltrials.gov/api/v2/studies/NCT03562507,Multi-center Trial of ESK981 in Combination With Nivolumab in Patients With Metastatic Renal Cell Carcinoma,renal,1L,no,OG000__esk981_monotherapy_cohort_a_1efa99c3,OG000,ESK981 Monotherapy (Cohort A),ESK981 Monotherapy (Cohort A),"ESK981: 160 mg (4 capsules) PO daily for 5 consecutive days followed by a 2-day off drug in each week, repeated weekly in 4-week (28-day) cycles ESK981: ESK981: 160 mg (4 capsules) PO daily for 5 consecutive days followed by a 2-day off drug in each week, repeated weekly in 4-week (28-day) cycles",ESK981,"ESK981 Monotherapy (Cohort A) | ESK981: 160 mg (4 capsules) PO daily for 5 consecutive days followed by a 2-day off drug in each week, repeated weekly in 4-week (28-day) cycles ESK981: ESK981: 160 mg (4 capsules) PO daily for 5 consecutive days followed by a 2-day off drug in each week, repeated weekly in 4-week (28-day) cycles | ESK981",targeted_therapy,False,0,0,8,The Percentage of Patients That Respond to Treatment With ESK981 Monotherapy (Cohort A).,"Up to 24 months after last dose of study treatment, 5 month treatment duration on average, no CR or PR responses were recorded.",0,ctgov,,,,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,0.0,0.0,The Percentage of Patients That Respond to Treatment With ESK981 Monotherapy (Cohort A).,SECONDARY,"Up to 24 months after last dose of study treatment, 5 month treatment duration on average, no CR or PR responses were recorded.",COUNT_OF_PARTICIPANTS,Participants,,,OG000,ESK981 Monotherapy (Cohort A),0,8.0,0.0,,,https://clinicaltrials.gov/study/NCT03562507,https://clinicaltrials.gov/api/v2/studies/NCT03562507,2026-06-03,
4235,NCT00441467,https://clinicaltrials.gov/study/NCT00441467,https://clinicaltrials.gov/api/v2/studies/NCT00441467,Safety and Efficacy Study of Glufosfamide in Previously Treated Advanced Soft Tissue Sarcoma,sarcoma_gist_bone,2L+,no,OG000,OG000,Glufosfamide,Glufosfamide,Glufosfamide,Glufosfamide,Glufosfamide,chemotherapy,False,5.26316,1,19,Objective Response Rate,Tumor assessments were performed at baseline and every 6 weeks until disease progression was documented.,5.26316,ctgov,,,,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,ctgov_verified_match,5.263157894736842,-2.1052631584694836e-06,Objective Response Rate,PRIMARY,Tumor assessments were performed at baseline and every 6 weeks until disease progression was documented.,NUMBER,participants,Partial response,,OG000,Glufosfamide,1,19.0,5.263157894736842,,,https://clinicaltrials.gov/study/NCT00441467,https://clinicaltrials.gov/api/v2/studies/NCT00441467,2026-06-03,
4251,NCT01147822,https://clinicaltrials.gov/study/NCT01147822,https://clinicaltrials.gov/api/v2/studies/NCT01147822,Pazopanib Versus Sunitinib in the Treatment of Asian Subjects With Locally Advanced and/or Metastatic Renal Cell Carcinoma,renal,1L,no,OG001,OG001,Sunitinib 50 mg,Sunitinib 50 mg,"Participants were administered sunitinib 50 mg capsules orally OD in 6-week cycles (4 weeks of treatment, followed by 2 weeks without treatment). Study treatment continued until participants experienced disease progression, death, or unacceptable toxicity, or withdrew consent for any other reason.",Sunitinib,"Sunitinib 50 mg | Participants were administered sunitinib 50 mg capsules orally OD in 6-week cycles (4 weeks of treatment, followed by 2 weeks without treatment). Study treatment continued until participants experienced disease progression, death, or unacceptable toxicity, or withdrew consent for any other reason. | Sunitinib",targeted_therapy,False,21,21,179,Overall Response Rate (ORR) as Assessed by Independent Review,"From randomization until date of radiographic progression, assessed up to approximately 24 months (Primary analysis cut-off date = 21-May-2012) at the same time as the main study VEG108844 (NCT00720941).",21,ctgov,,,,27,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_verified_match,21.0,0.0,Overall Response Rate (ORR) as Assessed by Independent Review,SECONDARY,"From randomization until date of radiographic progression, assessed up to approximately 24 months (Primary analysis cut-off date = 21-May-2012) at the same time as the main study VEG108844 (NCT00720941).",NUMBER,Percentage of Participants,,,OG001,Sunitinib 50 mg,21,179.0,21.0,14.7,26.6,https://clinicaltrials.gov/study/NCT01147822,https://clinicaltrials.gov/api/v2/studies/NCT01147822,2026-06-03,
4252,NCT00094094,https://clinicaltrials.gov/study/NCT00094094,https://clinicaltrials.gov/api/v2/studies/NCT00094094,Anti-angiogenesis Agent AG-013736 in Patients With Advanced Non-Small Cell Lung Cancer,nsclc,2L+,no,OG000,OG000,Axitinib,Axitinib,AG-013736 is a vascular endothelial growth factor \[VEGF\] inhibitor,axitinib,Axitinib | AG-013736 is a vascular endothelial growth factor \[VEGF\] inhibitor | axitinib,targeted_therapy,False,9.4,9.4,32,Percentage of Participants With Objective Response (OR),"Baseline until the date of first documented progression or discontinuation from the study due to any cause, assessed every 8 weeks up to 98 weeks",9.4,ctgov,,,,33,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,9.4,0.0,Percentage of Participants With Objective Response (OR),PRIMARY,"Baseline until the date of first documented progression or discontinuation from the study due to any cause, assessed every 8 weeks up to 98 weeks",NUMBER,Percentage of participants,,,OG000,Axitinib,9.4,32.0,9.4,2.0,25.0,https://clinicaltrials.gov/study/NCT00094094,https://clinicaltrials.gov/api/v2/studies/NCT00094094,2026-06-03,
4482,NCT00338884,https://clinicaltrials.gov/study/NCT00338884,https://clinicaltrials.gov/api/v2/studies/NCT00338884,Safety And Effectiveness Of Daily Dosing With 37.5 mg Sunitinib Malate In Patients With Advanced Kidney Cancer,renal,1L,no,OG000,OG000,Sunitinib,Sunitinib,37.5 mg oral sunitinib malate. Dose could have been reduced to 25 mg daily due to sunitinib related toxicities.,Sunitinib malate,Sunitinib | 37.5 mg oral sunitinib malate. Dose could have been reduced to 25 mg daily due to sunitinib related toxicities. | Sunitinib malate,targeted_therapy,False,35.3448,41,116,Number of Subjects With Overall Confirmed Objective Response (OR),"From start of treatment through Day 1 of Weeks 5, 9, and every 8 weeks thereafter",35.3448,ctgov,,,,27,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_verified_match,35.3448275862069,2.758620689746749e-05,Number of Subjects With Overall Confirmed Objective Response (OR),PRIMARY,"From start of treatment through Day 1 of Weeks 5, 9, and every 8 weeks thereafter",NUMBER,participants,,,OG000,Sunitinib,41,116.0,35.3448275862069,,,https://clinicaltrials.gov/study/NCT00338884,https://clinicaltrials.gov/api/v2/studies/NCT00338884,2026-06-03,
4693,NCT00087685,https://clinicaltrials.gov/study/NCT00087685,https://clinicaltrials.gov/api/v2/studies/NCT00087685,RAD001 in Recurrent Endometrial Cancer Patients,endometrial_uterine,2L+,no,OG000,OG000,RAD001,RAD001,RAD001 10 mg by mouth Daily,RAD001,RAD001 | RAD001 10 mg by mouth Daily,targeted_therapy,False,0,0,31,Number of Participants With Objective Response Plus Stable Disease Rate (CR + PR + SD),8 weeks,0,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,0.0,0.0,Number of Participants With Objective Response Plus Stable Disease Rate (CR + PR + SD),PRIMARY,8 weeks,NUMBER,participants,Complete Response (CR),,OG000,RAD001,0,31.0,0.0,,,https://clinicaltrials.gov/study/NCT00087685,https://clinicaltrials.gov/api/v2/studies/NCT00087685,2026-06-03,
4782,NCT01121562,https://clinicaltrials.gov/study/NCT01121562,https://clinicaltrials.gov/api/v2/studies/NCT01121562,Efficacy And Safety Of Sunitinib In Patients With Advanced Well-Differentiated Pancreatic Neuroendocrine Tumors,pancreatic,advanced_or_metastatic_line_unspecified,no,OG000,OG000,Sunitinib,Sunitinib,Sunitinib 37.5 mg was orally administered once daily in a continuous daily dosing regimen (1 cycle = 4 weeks).,Sunitinib,Sunitinib | Sunitinib 37.5 mg was orally administered once daily in a continuous daily dosing regimen (1 cycle = 4 weeks).,targeted_therapy,False,75,75,12,Clinical Benefit Response Rate (CBR),Up to 799 days of treatment,75,ctgov,,,,27,disease_therapy;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_verified_match,75.0,0.0,Clinical Benefit Response Rate (CBR),PRIMARY,Up to 799 days of treatment,NUMBER,percentage of participants,,,OG000,Sunitinib,75.0,12.0,75.0,42.8,94.5,https://clinicaltrials.gov/study/NCT01121562,https://clinicaltrials.gov/api/v2/studies/NCT01121562,2026-06-03,
