cohort_key,drug_key,drug,cohort,patient_count,label,label_bin,best_available_primary_orr,strict_primary_orr,full_marker_score_coverage_weighted_mean,full_marker_score_mean_tanh_mean,full_marker_score_strict_coverage_mean,full_marker_baseline_score_mean,full_marker_delta_score_mean,full_marker_gene_ordinal_score_mean,full_marker_term_coverage_mean,full_marker_baseline_coverage_mean,full_marker_delta_coverage_mean,shuffle_iter
breast,doxorubicin,Doxorubicin (hydrochloride),breast,13,success,1.0,33.3,33.3,-0.007144596207240533,-0.007144596207240533,-0.007144596207240533,0.06215096071854392,-0.07644015313302498,1.4615384615384615,1.0,1.0,1.0,1
breast,erlotinib,Erlotinib,breast,13,failure,0.0,2.9999999999999996,2.9999999999999996,0.004242340657353048,0.004242340657353048,0.004242340657353048,-0.005188502341822812,0.013673183656528903,1.5,1.0,1.0,1.0,1
breast,gefitinib,Gefitinib,breast,13,failure,0.0,1.7,1.7,0.019546548943217338,0.019546548943217338,0.019546548943217338,0.0025408389036899706,0.036552258982744695,1.6153846153846154,1.0,1.0,1.0,1
breast,gemcitabine,Gemcitabine,breast,13,success,1.0,20.2314606741573,20.2314606741573,-0.0070268577150312435,-0.0070268577150312435,-0.0070268577150312435,0.0132834586853663,-0.027337174115428783,1.4807692307692308,1.0,1.0,1.0,1
breast,paclitaxel,Paclitaxel,breast,13,success,1.0,25.0,25.0,0.007644981425135205,0.007644981425135205,0.007644981425135205,0.0826988922664771,-0.0674089294162067,1.5384615384615385,1.0,1.0,1.0,1
breast,sunitinib,Sunitinib,breast,13,failure,0.0,10.59190031152648,10.59190031152648,0.023210656075821273,0.023210656075821273,0.023210656075821273,0.024248555795894158,0.022172756355748377,1.5769230769230769,1.0,1.0,1.0,1
breast,temsirolimus,Temsirolimus,breast,13,failure,0.0,0.0,,0.0320908829381509,0.0320908829381509,0.0320908829381509,0.12521604338483852,-0.04773068315900993,1.6153846153846154,1.0,1.0,1.0,1
crc,5_fluorouracil,5-Fluorouracil,crc,20,success,1.0,17.3,17.3,0.05288889288168076,0.05288889288168076,0.05288889288168076,0.018680391172304182,0.08709739459105732,1.75,1.0,1.0,1.0,1
crc,bortezomib,Bortezomib,crc,20,failure,0.0,0.0,0.0,-0.03679363935207827,-0.03679363935207827,-0.03679363935207827,0.005623202071889202,-0.07921048077604574,1.4375,1.0,1.0,1.0,1
crc,cabozantinib,Cabozantinib (S-malate),,20,,,2.5,2.5,0.12991171292650247,0.12991171292650247,0.12991171292650247,0.0845182885162833,0.1753051373367216,1.975,1.0,1.0,1.0,1
crc,gefitinib,Gefitinib,crc,20,failure,0.0,1.0000000000000002,1.0000000000000002,0.07373872977324941,0.07373872977324941,0.07373872977324941,0.02411971323061015,0.12335774631588867,1.875,1.0,1.0,1.0,1
crc,irinotecan,Irinotecan,crc,20,success,1.0,7.0,7.0,-0.01936793595889132,-0.01936793595889132,-0.01936793595889132,0.0037385679788030255,-0.042474439896585656,1.475,1.0,1.0,1.0,1
crc,oxaliplatin,Oxaliplatin,crc,20,failure,0.0,10.5,10.5,-0.048833897783667694,-0.048833897783667694,-0.048833897783667694,0.020618878913151534,-0.11828667448048691,1.3875,1.0,1.0,1.0,1
crc,pemetrexed,Pemetrexed,crc,20,failure,0.0,0.0,0.0,0.004888999232894646,0.004888999232894646,0.004888999232894646,0.008762428399745259,0.001015570066044033,1.55,1.0,1.0,1.0,1
crc,raltitrexed,Raltitrexed,,20,,,11.11111111111111,11.11111111111111,-0.01705627730469028,-0.01705627730469028,-0.01705627730469028,-0.0004665619089548198,-0.033645992700425745,1.525,1.0,1.0,1.0,1
crc,regorafenib,Regorafenib,crc,20,success,1.0,1.0,1.0,0.14357829628639202,0.14357829628639202,0.14357829628639202,0.02739038396430078,0.25976620860848315,2.0875,1.0,1.0,1.0,1
crc,sunitinib,Sunitinib,crc,20,failure,0.0,1.1904761904761905,1.1904761904761905,-0.02474931680710563,-0.02474931680710563,-0.02474931680710563,0.019084280344846504,-0.06858291395905776,1.5,1.0,1.0,1.0,1
nsclc,docetaxel,Docetaxel,nsclc,15,success,1.0,13.314942528735632,13.314942528735632,-0.050398470024974155,-0.050398470024974155,-0.050398470024974155,0.03308011254617257,-0.13387705259612087,1.3666666666666667,1.0,1.0,1.0,1
nsclc,epirubicin,Epirubicin,nsclc,15,failure,0.0,36.0,36.0,-0.019957497351964046,-0.019957497351964046,-0.019957497351964046,0.0441930323884958,-0.08410802709242389,1.5,1.0,1.0,1.0,1
nsclc,erlotinib,Erlotinib,nsclc,15,success,1.0,11.009314975583289,11.009314975583289,-0.041402875886996,-0.041402875886996,-0.041402875886996,-0.013835485895348023,-0.06897026587864397,1.3833333333333333,1.0,1.0,1.0,1
nsclc,gefitinib,Gefitinib,nsclc,15,success,1.0,39.233817701453106,39.233817701453106,0.04902715192040888,0.04902715192040888,0.04902715192040888,0.0060859258815244306,0.09196837795929332,1.7666666666666666,1.0,1.0,1.0,1
nsclc,gemcitabine,Gemcitabine,nsclc,15,success,1.0,0.0,0.0,-0.025500162929549295,-0.025500162929549295,-0.025500162929549295,-0.014502724312449528,-0.03649760154664906,1.45,1.0,1.0,1.0,1
nsclc,idarubicin,Idarubicin,nsclc,15,failure,0.0,0.0,0.0,-0.02321407702350514,-0.02321407702350514,-0.02321407702350514,0.02207466701220921,-0.06850282105921948,1.5166666666666666,1.0,1.0,1.0,1
nsclc,irinotecan,Irinotecan,nsclc,15,success,1.0,21.428571428571427,21.428571428571427,0.006056977138685776,0.006056977138685776,0.006056977138685776,0.03579675303682661,-0.023682798759455063,1.5666666666666667,1.0,1.0,1.0,1
nsclc,lapatinib,Lapatinib,nsclc,15,failure,0.0,1.3,1.3,-0.004776925748891842,-0.004776925748891842,-0.004776925748891842,0.03986402548726615,-0.04941787698504983,1.5833333333333333,1.0,1.0,1.0,1
nsclc,mitoxantrone,Mitoxantrone,nsclc,15,failure,0.0,0.0,0.0,-0.045927008888154965,-0.045927008888154965,-0.045927008888154965,-0.041848743099910816,-0.05175310287136088,1.3833333333333333,1.0,1.0,1.0,1
nsclc,paclitaxel,Paclitaxel,nsclc,15,success,1.0,34.2,34.2,-0.06359604244531662,-0.06359604244531662,-0.06359604244531662,0.012025638012100992,-0.1392177229027342,1.3666666666666667,1.0,1.0,1.0,1
nsclc,pemetrexed,Pemetrexed,nsclc,15,success,1.0,10.256410256410255,10.256410256410255,-0.003876602671355519,-0.003876602671355519,-0.003876602671355519,0.011344597845775628,-0.019097803188486664,1.5666666666666667,1.0,1.0,1.0,1
nsclc,topotecan,Topotecan,nsclc,15,failure,0.0,5.0,5.0,0.028762549478059167,0.028762549478059167,0.028762549478059167,0.0506015746875133,0.006923524268605023,1.65,1.0,1.0,1.0,1
nsclc,vandetanib,Vandetanib,nsclc,15,failure,0.0,9.054726368159203,9.054726368159203,-0.053330977205307564,-0.053330977205307564,-0.053330977205307564,0.045871219795524845,-0.15253317420613996,1.4833333333333334,1.0,1.0,1.0,1
nsclc,volasertib,Volasertib,nsclc,15,failure,0.0,8.1,8.1,-0.015022979294005812,-0.015022979294005812,-0.015022979294005812,0.1323701455562112,-0.16241610414422283,1.55,1.0,1.0,1.0,1
ovarian,altretamine,Altretamine,,6,,,45.6140350877193,45.6140350877193,0.012738694101884877,0.012738694101884877,0.012738694101884877,-0.019340689474947728,0.05856638492593146,1.6666666666666667,1.0,1.0,1.0,1
ovarian,binimetinib,Binimetinib,ovarian,6,failure,0.0,16.0,,0.11439768864399409,0.11439768864399409,0.11439768864399409,-0.012830353132686184,0.24162573042067428,2.0,1.0,1.0,1.0,1
ovarian,bortezomib,Bortezomib,ovarian,6,failure,0.0,3.8461538461538463,3.8461538461538463,-0.017457998252158588,-0.017457998252158588,-0.017457998252158588,-0.003584355627031401,-0.03133164087728577,1.5416666666666667,1.0,1.0,1.0,1
ovarian,docetaxel,Docetaxel,,6,,,34.78260869565217,34.78260869565217,0.004614778579988841,0.004614778579988841,0.004614778579988841,-0.01302100861308927,0.022250565773066944,1.5416666666666667,1.0,1.0,1.0,1
ovarian,gemcitabine,Gemcitabine,ovarian,6,success,1.0,11.11111111111111,11.11111111111111,0.0031096501663994227,0.0031096501663994227,0.0031096501663994227,0.0074266978273314814,-0.001207397494532635,1.5416666666666667,1.0,1.0,1.0,1
ovarian,olaparib,olaparib,ovarian,6,success,1.0,69.3,,0.05865611271860343,0.05865611271860343,0.05865611271860343,0.03235925758883663,0.08495296784837021,1.8333333333333333,1.0,1.0,1.0,1
ovarian,paclitaxel,Paclitaxel,,6,,,30.0,30.0,0.055937507003024335,0.055937507003024335,0.055937507003024335,-0.015898772371005173,0.1277737863770538,1.7083333333333333,1.0,1.0,1.0,1
ovarian,pemetrexed,Pemetrexed,ovarian,6,success,1.0,20.833333333333332,20.833333333333332,-0.10545178044060251,-0.10545178044060251,-0.10545178044060251,0.050350483800173075,-0.26125404468137803,1.2916666666666667,1.0,1.0,1.0,1
ovarian,rucaparib,Rucaparib (phosphate),ovarian,6,success,1.0,59.3,,0.00404294291382693,0.00404294291382693,0.00404294291382693,-0.02081495245534865,0.02890083828300251,1.5833333333333333,1.0,1.0,1.0,1
ovarian,temsirolimus,Temsirolimus,ovarian,6,failure,0.0,9.25925925925926,9.25925925925926,0.2681213671666262,0.2681213671666262,0.2681213671666262,0.04669987946752719,0.45791121376585386,2.3333333333333335,1.0,1.0,1.0,1
ovarian,topotecan,Topotecan (hydrochloride),,6,,,26.666666666666668,26.666666666666668,-0.1325515652682189,-0.1325515652682189,-0.1325515652682189,-0.008561232765535914,-0.25654189777090186,1.2916666666666667,1.0,1.0,1.0,1
ovarian,trametinib,Trametinib,ovarian,6,success,1.0,25.999999999999996,,0.024935649933090925,0.024935649933090925,0.024935649933090925,0.02370474567161854,0.026166554194563305,1.5416666666666667,1.0,1.0,1.0,1
breast,bortezomib,Bortezomib,breast,13,failure,0.0,0.0,0.0,-0.0236045396189087,-0.0236045396189087,-0.0236045396189087,-0.06882135400497344,0.021612274767156055,1.4230769230769231,1.0,1.0,1.0,2
breast,docetaxel,Docetaxel,breast,13,success,1.0,47.8,47.8,0.0177611392359199,0.0177611392359199,0.0177611392359199,0.06687176412720969,-0.03134948565536989,1.6538461538461537,1.0,1.0,1.0,2
breast,doxorubicin,Doxorubicin (hydrochloride),breast,13,success,1.0,33.3,33.3,0.03845939490994509,0.03845939490994509,0.03845939490994509,0.05294035671511446,0.023978433104775723,1.6538461538461537,1.0,1.0,1.0,2
breast,erlotinib,Erlotinib,breast,13,failure,0.0,2.9999999999999996,2.9999999999999996,0.03921149640914528,0.03921149640914528,0.03921149640914528,0.044467522830715055,0.033955469987575496,1.6923076923076923,1.0,1.0,1.0,2
breast,gefitinib,Gefitinib,breast,13,failure,0.0,1.7,1.7,0.003381066452551588,0.003381066452551588,0.003381066452551588,-0.0036341009858631467,0.010396233890966323,1.4807692307692308,1.0,1.0,1.0,2
breast,gemcitabine,Gemcitabine,breast,13,success,1.0,20.2314606741573,20.2314606741573,-0.035334212125556354,-0.035334212125556354,-0.035334212125556354,0.009315473069930257,-0.07998389732104295,1.4230769230769231,1.0,1.0,1.0,2
breast,paclitaxel,Paclitaxel,breast,13,success,1.0,25.0,25.0,0.021410541415626507,0.021410541415626507,0.021410541415626507,0.026525466043537935,0.01629561678771508,1.5769230769230769,1.0,1.0,1.0,2
breast,sunitinib,Sunitinib,breast,13,failure,0.0,10.59190031152648,10.59190031152648,0.04965639833027383,0.04965639833027383,0.04965639833027383,0.03451412742963557,0.06479866923091207,1.6923076923076923,1.0,1.0,1.0,2
breast,temsirolimus,Temsirolimus,breast,13,failure,0.0,0.0,,0.15438297144192126,0.15438297144192126,0.15438297144192126,0.120390017824475,0.18351978882830372,2.076923076923077,1.0,1.0,1.0,2
crc,5_fluorouracil,5-Fluorouracil,crc,20,success,1.0,17.3,17.3,0.0559488045173165,0.0559488045173165,0.0559488045173165,0.014210752877932307,0.09768685615670067,1.75,1.0,1.0,1.0,2
crc,bortezomib,Bortezomib,crc,20,failure,0.0,0.0,0.0,0.07616695632590911,0.07616695632590911,0.07616695632590911,0.07021559494730951,0.0821183177045087,1.8375,1.0,1.0,1.0,2
crc,cabozantinib,Cabozantinib (S-malate),,20,,,2.5,2.5,0.13945296306908492,0.13945296306908492,0.13945296306908492,0.09517139287036051,0.18373453326780925,2.025,1.0,1.0,1.0,2
crc,gefitinib,Gefitinib,crc,20,failure,0.0,1.0000000000000002,1.0000000000000002,0.09101591763486824,0.09101591763486824,0.09101591763486824,-0.001072354655260671,0.18310418992499713,1.875,1.0,1.0,1.0,2
crc,irinotecan,Irinotecan,crc,20,success,1.0,7.0,7.0,0.013091833103702039,0.013091833103702039,0.013091833103702039,0.033662281886804,-0.007478615679399929,1.55,1.0,1.0,1.0,2
crc,oxaliplatin,Oxaliplatin,crc,20,failure,0.0,10.5,10.5,-0.01909050896179633,-0.01909050896179633,-0.01909050896179633,0.016416796516244066,-0.054597814439836724,1.4375,1.0,1.0,1.0,2
crc,pemetrexed,Pemetrexed,crc,20,failure,0.0,0.0,0.0,-0.012650120083692795,-0.012650120083692795,-0.012650120083692795,0.011428418987007256,-0.036728659154392836,1.5,1.0,1.0,1.0,2
crc,raltitrexed,Raltitrexed,,20,,,11.11111111111111,11.11111111111111,0.054142522290917906,0.054142522290917906,0.054142522290917906,0.024989241132960017,0.08329580344887577,1.8375,1.0,1.0,1.0,2
crc,regorafenib,Regorafenib,crc,20,success,1.0,1.0,1.0,-0.18943243021241046,-0.18943243021241046,-0.18943243021241046,0.0047996682444693935,-0.3836645286692903,1.225,1.0,1.0,1.0,2
crc,sunitinib,Sunitinib,crc,20,failure,0.0,1.1904761904761905,1.1904761904761905,0.04400138521714494,0.04400138521714494,0.04400138521714494,0.038312497030879716,0.04969027340341015,1.65,1.0,1.0,1.0,2
nsclc,docetaxel,Docetaxel,nsclc,15,success,1.0,13.314942528735632,13.314942528735632,-0.06330085317983344,-0.06330085317983344,-0.06330085317983344,-0.046967831178289225,-0.07963387518137764,1.3666666666666667,1.0,1.0,1.0,2
nsclc,epirubicin,Epirubicin,nsclc,15,failure,0.0,36.0,36.0,-0.10041936860072519,-0.10041936860072519,-0.10041936860072519,-0.01918561060610525,-0.1816531265953451,1.2833333333333334,1.0,1.0,1.0,2
nsclc,erlotinib,Erlotinib,nsclc,15,success,1.0,11.009314975583289,11.009314975583289,-0.030354706996670835,-0.030354706996670835,-0.030354706996670835,0.015278455235087317,-0.07598786922842898,1.45,1.0,1.0,1.0,2
nsclc,gefitinib,Gefitinib,nsclc,15,success,1.0,39.233817701453106,39.233817701453106,0.06344089843825353,0.06344089843825353,0.06344089843825353,0.021086376015695196,0.10579542086081184,1.8333333333333333,1.0,1.0,1.0,2
nsclc,gemcitabine,Gemcitabine,nsclc,15,success,1.0,0.0,0.0,-0.05843453285474277,-0.05843453285474277,-0.05843453285474277,-0.01829208487353481,-0.09857698083595069,1.35,1.0,1.0,1.0,2
nsclc,idarubicin,Idarubicin,nsclc,15,failure,0.0,0.0,0.0,-0.014281772128210277,-0.014281772128210277,-0.014281772128210277,-0.0068605121812681,-0.02170303207515245,1.4666666666666666,1.0,1.0,1.0,2
nsclc,irinotecan,Irinotecan,nsclc,15,success,1.0,21.428571428571427,21.428571428571427,-0.05609413566961566,-0.05609413566961566,-0.05609413566961566,-0.007541742685728949,-0.10464652865350234,1.4,1.0,1.0,1.0,2
nsclc,lapatinib,Lapatinib,nsclc,15,failure,0.0,1.3,1.3,0.029212165431595768,0.029212165431595768,0.029212165431595768,0.025695687961646348,0.032728642901545174,1.6333333333333333,1.0,1.0,1.0,2
nsclc,mitoxantrone,Mitoxantrone,nsclc,15,failure,0.0,0.0,0.0,-0.012295025502816264,-0.012295025502816264,-0.012295025502816264,0.011311094705807604,-0.046018054372278926,1.45,1.0,1.0,1.0,2
nsclc,paclitaxel,Paclitaxel,nsclc,15,success,1.0,34.2,34.2,0.015306828914222415,0.015306828914222415,0.015306828914222415,0.02828677830068928,0.0023268795277555415,1.6,1.0,1.0,1.0,2
nsclc,pemetrexed,Pemetrexed,nsclc,15,success,1.0,10.256410256410255,10.256410256410255,-0.005725963734320262,-0.005725963734320262,-0.005725963734320262,0.034863750173061654,-0.046315677641702184,1.5166666666666666,1.0,1.0,1.0,2
nsclc,topotecan,Topotecan,nsclc,15,failure,0.0,5.0,5.0,0.03944874953021436,0.03944874953021436,0.03944874953021436,-0.00646812341368524,0.08536562247411394,1.7,1.0,1.0,1.0,2
nsclc,vandetanib,Vandetanib,nsclc,15,failure,0.0,9.054726368159203,9.054726368159203,-0.13994761509536485,-0.13994761509536485,-0.13994761509536485,0.06048438325388421,-0.34037961344461387,1.2333333333333334,1.0,1.0,1.0,2
nsclc,volasertib,Volasertib,nsclc,15,failure,0.0,8.1,8.1,0.2242807777166939,0.2242807777166939,0.2242807777166939,0.029944929043975072,0.41861662638941266,2.25,1.0,1.0,1.0,2
ovarian,altretamine,Altretamine,,6,,,45.6140350877193,45.6140350877193,0.0911589787910474,0.0911589787910474,0.0911589787910474,-0.019745222993343952,0.24959355276874928,1.9166666666666667,1.0,1.0,1.0,2
